10	
0.292	120
0.656	30
1.02	120
1.38	30
1.744	120
2.104	30
2.472	120
2.828	30
3.192	120
3.552	30
3.912	120
4.276	30
4.64	120
5.0		30
5.364	120
5.724	30
6.088	120
6.448	30
6.812	120
7.172	30
7.536	120
7.896	30
8.26	120
8.62	30
8.984	120
9.344	30
9.704	120
10.068	30
10.432	120
10.792	30
11.156	120
11.52	30
11.88	120
12.244	30
12.608	120
12.968	30
13.328	120
13.692	30
14.056	120
14.416	30
14.78	120
15.192	30
15.604	120
15.992	30
16.388	120
16.752	30
17.112	120
17.48	30
17.836	120
18.2	30
18.56	120
18.92	30
19.284	120
19.648	30
20.008	120
20.372	30
20.732	120
21.096	30
21.456	120
21.82	30
22.18	120
22.544	30
22.908	120
23.272	30
23.632	120
23.992	30
24.356	120
24.72	30
25.08	120
25.44	30
25.804	120
26.168	30
26.528	120
26.888	30
27.252	120
27.616	30
27.976	120
28.34	30
28.7	120
